,id,sex,race,mathk,readk,math1,read1,math2,read2,math3,read3,stark,ctypek,star1,ctype1,star2,ctype2,star3,ctype3,csizek,csize1,csize2,csize3,sesk,ses1,ses2,ses3,yob,schidk,schid1,schid2,schid3,mathk_p,math1_p,math2_p,math3_p,readk_p,read1_p,read2_p,read3_p,freelunchk,freelunch1,freelunch2,freelunch3,attritionk,attrition1,attrition2,wa,age,score,score1,smallc,regAc,reg,student,kscore
0,38495.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,510.0,499.0,2,0.0,2,0.0,2,0.0,1,2.0,0.0,0.0,0.0,25.0,9,9,9,1,1979.0,,999.0,999.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,0,6.0,1.0,1.0,0,0,0,1,0.0
1,114890.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,536.0,499.0,2,0.0,2,0.0,2,0.0,1,3.0,0.0,0.0,0.0,25.0,9,9,9,1,1978.0,,999.0,999.0,49.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,0,7.0,1.5,1.5,0,0,0,1,0.0
2,32145.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,571.0,506.0,2,0.0,2,0.0,1,3.0,1,3.0,0.0,0.0,21.0,23.0,9,9,2,9,1980.0,,999.0,44.0,44.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,5.0,7.0,7.0,0,0,0,1,0.0
3,121064.0,1,2,0.0,0.0,515.0,456.0,545.0,571.0,554.0,508.0,2,0.0,1,2.0,1,2.0,1,2.0,0.0,29.0,23.0,24.0,9,1,1,1,1979.0,,44.0,44.0,44.0,0.0,39.0,22.0,5.0,0.0,12.0,44.0,1.0,0,1,1,1,1,0,0,0,6.0,25.5,25.5,0,0,0,1,0.0
4,116042.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,515.0,511.0,2,0.0,2,0.0,2,0.0,1,1.0,0.0,0.0,0.0,17.0,9,9,9,1,1978.0,,999.0,999.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,1,7.0,1.0,1.0,0,0,0,1,0.0
5,114011.0,0,2,0.0,0.0,488.0,444.0,530.0,503.0,533.0,513.0,2,0.0,1,2.0,1,2.0,1,2.0,0.0,25.0,21.0,24.0,9,1,1,1,1979.0,,30.0,30.0,30.0,0.0,18.0,13.0,1.0,0.0,6.0,4.0,1.0,0,1,1,1,1,0,0,0,6.0,12.0,12.0,0,0,0,1,0.0
6,7967.0,0,2,0.0,0.0,0.0,0.0,497.0,0.0,512.0,515.0,2,0.0,2,0.0,1,1.0,1,1.0,0.0,0.0,17.0,15.0,9,9,1,1,1979.0,,999.0,44.0,44.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,0,0,6.0,1.0,1.5,0,0,0,1,0.0
7,19851.0,0,1,0.0,0.0,439.0,439.0,481.0,476.0,510.0,517.0,2,0.0,1,3.0,1,3.0,1,3.0,0.0,26.0,24.0,26.0,9,1,9,1,1979.0,,48.0,48.0,48.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0,1,0,1,1,0,0,1,6.0,3.0,3.0,0,0,0,1,0.0
8,73311.0,0,2,463.0,414.0,538.0,445.0,548.0,497.0,564.0,517.0,1,3.0,1,2.0,1,2.0,1,1.0,27.0,23.0,19.0,15.0,1,1,1,1,1980.0,68.0,68.0,68.0,68.0,34.0,61.0,25.0,9.0,25.0,7.0,2.0,1.0,1,1,1,1,0,0,0,0,5.0,29.5,34.0,0,1,0,1,29.5
9,166156.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,536.0,517.0,2,0.0,2,0.0,2,0.0,1,3.0,0.0,0.0,0.0,21.0,9,9,9,1,1978.0,,999.0,999.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,0,7.0,1.5,1.5,0,0,0,1,0.0
10,117897.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,544.0,517.0,2,0.0,2,0.0,2,0.0,1,2.0,0.0,0.0,0.0,21.0,9,9,9,1,1978.0,,999.0,999.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,0,7.0,2.0,2.0,0,0,0,1,0.0
11,139375.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,522.0,517.0,2,0.0,2,0.0,2,0.0,1,3.0,0.0,0.0,0.0,22.0,9,9,9,1,1980.0,,999.0,999.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,0,5.0,1.0,1.0,0,0,0,1,0.0
12,25979.0,0,1,0.0,0.0,518.0,466.0,563.0,532.0,543.0,517.0,2,0.0,1,2.0,1,2.0,1,2.0,0.0,22.0,22.0,24.0,9,1,2,2,1979.0,,38.0,38.0,38.0,0.0,42.0,37.0,3.0,0.0,18.0,14.0,1.0,0,1,0,0,1,0,0,1,6.0,30.0,30.0,0,0,0,1,0.0
13,18123.0,0,2,0.0,0.0,0.0,0.0,488.0,520.0,535.0,517.0,2,0.0,2,0.0,1,3.0,1,3.0,0.0,0.0,24.0,21.0,9,9,1,1,1980.0,,999.0,16.0,16.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,1.0,0,0,1,1,1,1,0,0,5.0,5.5,5.5,0,0,0,1,0.0
14,138813.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,2,0.0,2,0.0,2,0.0,1,3.0,0.0,0.0,0.0,22.0,9,9,9,1,1980.0,,999.0,999.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,1,1,1,0,5.0,0.5,0.5,0,0,0,1,0.0
15,71486.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,544.0,521.0,2,0.0,2,0.0,2,0.0,1,3.0,0.0,0.0,0.0,28.0,9,9,9,2,1979.0,,999.0,999.0,34.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,1,1,6.0,2.0,2.0,0,0,0,1,0.0
16,14939.0,0,1,0.0,0.0,518.0,457.0,525.0,481.0,574.0,523.0,2,0.0,1,2.0,1,2.0,1,2.0,0.0,22.0,24.0,27.0,9,1,1,1,1979.0,,64.0,64.0,64.0,0.0,42.0,11.0,15.0,0.0,13.0,1.0,1.0,0,1,1,1,1,0,0,1,6.0,27.5,27.5,0,0,0,1,0.0
